GENE	SYMBOL	GE
ENSDARG00000100470	BX004768.1	Gene Expression
ENSDARG00000057857	arfrp1	Gene Expression
ENSDARG00000103662	si:zfos-169g10.2	Gene Expression
ENSDARG00000006915	arl8ba	Gene Expression
ENSDARG00000073813	scly	Gene Expression
ENSDARG00000104361	barhl2	Gene Expression
ENSDARG00000033012	pcnt	Gene Expression
ENSDARG00000038465	stmn3	Gene Expression
ENSDARG00000028379	trub2	Gene Expression
ENSDARG00000055917	nipa1	Gene Expression
ENSDARG00000076800	tnfrsf18	Gene Expression
ENSDARG00000016527	helz2	Gene Expression
ENSDARG00000101252	si:dkey-238n5.3	Gene Expression
ENSDARG00000074248	tmem237b	Gene Expression
ENSDARG00000103984	cyth4b	Gene Expression
ENSDARG00000095170	lrrfip1b	Gene Expression
ENSDARG00000028389	rab44	Gene Expression
ENSDARG00000005565	entpd8	Gene Expression
ENSDARG00000029075	pfkfb4b	Gene Expression
ENSDARG00000087225	si:ch73-361p23.3	Gene Expression
ENSDARG00000031664	sox21a	Gene Expression
ENSDARG00000019516	sp7	Gene Expression
ENSDARG00000098348	znf326	Gene Expression
ENSDARG00000044194	tcta	Gene Expression
ENSDARG00000078211	espnla	Gene Expression
ENSDARG00000038467	igsf8	Gene Expression
ENSDARG00000059818	kif5ab	Gene Expression
ENSDARG00000073841	herc2	Gene Expression
ENSDARG00000056259	tmem131	Gene Expression
ENSDARG00000060120	glyctk	Gene Expression
ENSDARG00000103840	lrrc8db	Gene Expression
ENSDARG00000099911	lrrc8c	Gene Expression
ENSDARG00000059824	soat2	Gene Expression
ENSDARG00000089933	rasal3	Gene Expression
ENSDARG00000032005	ccdc65	Gene Expression
ENSDARG00000061590	cachd1	Gene Expression
ENSDARG00000044549	zgc:112416	Gene Expression
ENSDARG00000076094	klhl30	Gene Expression
ENSDARG00000070801	opa1	Gene Expression
ENSDARG00000100815	srsf3a	Gene Expression
ENSDARG00000096252	artna	Gene Expression
ENSDARG00000025397	srsf3a	Gene Expression
ENSDARG00000090628	si:dkey-197j19.6	Gene Expression
ENSDARG00000071183	pimr73	Gene Expression
ENSDARG00000104188	fam83fb	Gene Expression
ENSDARG00000096949	si:dkey-197j19.5	Gene Expression
ENSDARG00000070394	uroc1	Gene Expression
ENSDARG00000018623	rad54l	Gene Expression
ENSDARG00000096306	si:ch1073-342h5.2	Gene Expression
ENSDARG00000060115	lrrn1	Gene Expression
ENSDARG00000037000	fkbp11	Gene Expression
ENSDARG00000017425	crocc2	Gene Expression
ENSDARG00000104298	AL953886.2	Gene Expression
ENSDARG00000006040	cyp20a1	Gene Expression
ENSDARG00000075297	trnt1	Gene Expression
ENSDARG00000070991	mlpha	Gene Expression
ENSDARG00000074599	frmd4ba	Gene Expression
ENSDARG00000073837	senp2	Gene Expression
ENSDARG00000098924	suz12b	Gene Expression
ENSDARG00000076797	si:dkey-178o16.4	Gene Expression
ENSDARG00000077044	arl6ip5a	Gene Expression
ENSDARG00000096903	CU062633.1	Gene Expression
ENSDARG00000031388	dctn2	Gene Expression
ENSDARG00000028396	fkbp5	Gene Expression
ENSDARG00000040707	chchd4b	Gene Expression
ENSDARG00000062998	pglyrp2	Gene Expression
ENSDARG00000036998	arf3b	Gene Expression
ENSDARG00000023771	gabrb3	Gene Expression
ENSDARG00000101169	grap2b	Gene Expression
ENSDARG00000070730	gabra5	Gene Expression
ENSDARG00000086980	mbd6	Gene Expression
ENSDARG00000100818	ENSDARG00000100818	Gene Expression
ENSDARG00000059836	ddit3	Gene Expression
ENSDARG00000059128	uqcrh	Gene Expression
ENSDARG00000021669	sec61a1	Gene Expression
ENSDARG00000028027	trim63a	Gene Expression
ENSDARG00000057276	iqca1	Gene Expression
ENSDARG00000006202	erbb3a	Gene Expression
ENSDARG00000058179	ackr3b	Gene Expression
ENSDARG00000077764	faah	Gene Expression
ENSDARG00000014875	abi2b	Gene Expression
ENSDARG00000044433	sned1	Gene Expression
ENSDARG00000000730	slc6a22.1	Gene Expression
ENSDARG00000079945	pjvk	Gene Expression
ENSDARG00000070828	actl6a	Gene Expression
ENSDARG00000009782	myh11a	Gene Expression
ENSDARG00000034396	mars1	Gene Expression
ENSDARG00000019613	ip6k2b	Gene Expression
ENSDARG00000100255	si:ch73-29l19.1	Gene Expression
ENSDARG00000101126	atad5b	Gene Expression
ENSDARG00000101791	kyat3	Gene Expression
ENSDARG00000001354	slc6a22.2	Gene Expression
ENSDARG00000100548	tefm	Gene Expression
ENSDARG00000096307	cacna1ib	Gene Expression
ENSDARG00000095914	si:dkey-209n16.2	Gene Expression
ENSDARG00000024847	col5a2b	Gene Expression
ENSDARG00000015176	ror1	Gene Expression
ENSDARG00000103867	BX005054.1	Gene Expression
ENSDARG00000052638	fam210b	Gene Expression
ENSDARG00000079860	ppp1r16b	Gene Expression
ENSDARG00000007231	ryk	Gene Expression
ENSDARG00000100119	caskb	Gene Expression
ENSDARG00000044521	eef1b2	Gene Expression
ENSDARG00000061039	atp10a	Gene Expression
ENSDARG00000027419	gad1b	Gene Expression
ENSDARG00000039578	pa2g4a	Gene Expression
ENSDARG00000021720	col7a1	Gene Expression
ENSDARG00000097008	opn1mw1	Gene Expression
ENSDARG00000097018	CR628341.1	Gene Expression
ENSDARG00000070743	tmem45a	Gene Expression
ENSDARG00000071198	fopnl	Gene Expression
ENSDARG00000052030	akr1a1b	Gene Expression
ENSDARG00000005774	ddx3xb	Gene Expression
ENSDARG00000025404	ube2g2	Gene Expression
ENSDARG00000097207	CR759882.1	Gene Expression
ENSDARG00000039213	prpf38a	Gene Expression
ENSDARG00000039222	mpl	Gene Expression
ENSDARG00000070746	sft2d2a	Gene Expression
ENSDARG00000003732	mitfa	Gene Expression
ENSDARG00000004105	tie1	Gene Expression
ENSDARG00000097529	CR847983.1	Gene Expression
ENSDARG00000075743	mrpl47	Gene Expression
ENSDARG00000015126	gorasp2	Gene Expression
ENSDARG00000039217	orc1	Gene Expression
ENSDARG00000097864	CR847983.2	Gene Expression
ENSDARG00000000103	myh10	Gene Expression
ENSDARG00000038151	zgc:92360	Gene Expression
ENSDARG00000013561	pgm1	Gene Expression
ENSDARG00000057833	gulp1b	Gene Expression
ENSDARG00000044280	opn1mw2	Gene Expression
ENSDARG00000002933	gbx2	Gene Expression
ENSDARG00000055737	ube3a	Gene Expression
ENSDARG00000098787	cd7al	Gene Expression
ENSDARG00000070824	ndufb5	Gene Expression
ENSDARG00000103313	rhot1b	Gene Expression
ENSDARG00000044279	opn1mw3	Gene Expression
ENSDARG00000077580	tspeara	Gene Expression
ENSDARG00000087873	eevs	Gene Expression
ENSDARG00000096322	uts2r4	Gene Expression
ENSDARG00000070726	cnga3a	Gene Expression
ENSDARG00000000638	opn1mw4	Gene Expression
ENSDARG00000079198	usp13	Gene Expression
ENSDARG00000097000	BX890558.1	Gene Expression
ENSDARG00000059794	kdm6al	Gene Expression
ENSDARG00000057497	stk35l	Gene Expression
ENSDARG00000007098	itm2ba	Gene Expression
ENSDARG00000044278	synpr	Gene Expression
ENSDARG00000028546	ndufs1	Gene Expression
ENSDARG00000053728	ttll3	Gene Expression
ENSDARG00000062226	ino80db	Gene Expression
ENSDARG00000010255	bin2b	Gene Expression
ENSDARG00000053483	zgc:113054	Gene Expression
ENSDARG00000091734	traf3ip2l	Gene Expression
ENSDARG00000100715	tlk1b	Gene Expression
ENSDARG00000045019	aamp	Gene Expression
ENSDARG00000015471	chd1l	Gene Expression
ENSDARG00000097338	BX000434.1	Gene Expression
ENSDARG00000073869	pdzrn3b	Gene Expression
ENSDARG00000061896	slco2a1	Gene Expression
ENSDARG00000062123	agap1	Gene Expression
ENSDARG00000071197	usp40	Gene Expression
ENSDARG00000091832	ENSDARG00000091832	Gene Expression
ENSDARG00000103109	chl1b	Gene Expression
ENSDARG00000097651	tgm8	Gene Expression
ENSDARG00000104277	BX942846.1	Gene Expression
ENSDARG00000039328	ccndbp1	Gene Expression
ENSDARG00000102362	slc25a12	Gene Expression
ENSDARG00000097645	BX936393.1	Gene Expression
ENSDARG00000015531	slc4a8	Gene Expression
ENSDARG00000026109	slc48a1b	Gene Expression
ENSDARG00000098161	cntn4	Gene Expression
ENSDARG00000014181	foxp1b	Gene Expression
ENSDARG00000038153	lgals2b	Gene Expression
ENSDARG00000020279	efcab7	Gene Expression
ENSDARG00000013522	pck1	Gene Expression
ENSDARG00000011571	calcrlb	Gene Expression
ENSDARG00000101277	znf207b	Gene Expression
ENSDARG00000021309	rhoca	Gene Expression
ENSDARG00000062217	kcnj3b	Gene Expression
ENSDARG00000071013	arl6ip6	Gene Expression
ENSDARG00000039325	pmepa1	Gene Expression
ENSDARG00000056862	cep63	Gene Expression
ENSDARG00000009505	prelid3b	Gene Expression
ENSDARG00000073850	hdac7b	Gene Expression
ENSDARG00000043685	nabp1b	Gene Expression
ENSDARG00000012485	aurka	Gene Expression
ENSDARG00000034522	rab6ba	Gene Expression
ENSDARG00000097082	im:7152348	Gene Expression
ENSDARG00000074690	ppm1j	Gene Expression
ENSDARG00000097493	si:dkey-148h10.5	Gene Expression
ENSDARG00000096297	CR954285.2	Gene Expression
ENSDARG00000058699	tmeff2b	Gene Expression
ENSDARG00000071196	cavin2b	Gene Expression
ENSDARG00000096384	si:ch211-162i14.1	Gene Expression
ENSDARG00000042590	rbm19	Gene Expression
ENSDARG00000075700	zswim2	Gene Expression
ENSDARG00000103429	CR854926.1	Gene Expression
ENSDARG00000063062	ubn2a	Gene Expression
ENSDARG00000020814	faimb	Gene Expression
ENSDARG00000022518	pex5la	Gene Expression
ENSDARG00000040455	unc50	Gene Expression
ENSDARG00000075041	fmnl2b	Gene Expression
ENSDARG00000030975	ccdc80l1	Gene Expression
ENSDARG00000006607	gpr27	Gene Expression
ENSDARG00000091616	prok2	Gene Expression
ENSDARG00000023858	ccdc174	Gene Expression
ENSDARG00000070721	vdrb	Gene Expression
ENSDARG00000079446	ENSDARG00000079446	Gene Expression
ENSDARG00000097193	si:dkey-28n18.9	Gene Expression
ENSDARG00000005359	sucla2	Gene Expression
ENSDARG00000100281	si:dkeyp-6a3.1	Gene Expression
ENSDARG00000096375	march7	Gene Expression
ENSDARG00000096271	march7	Gene Expression
ENSDARG00000105190	rhbdl3	Gene Expression
ENSDARG00000057772	march7	Gene Expression
ENSDARG00000059712	slc19a2	Gene Expression
ENSDARG00000016963	slc16a1a	Gene Expression
ENSDARG00000021607	negr1	Gene Expression
ENSDARG00000053459	rybpb	Gene Expression
ENSDARG00000058522	shq1	Gene Expression
ENSDARG00000017354	epha2a	Gene Expression
ENSDARG00000017617	alg6	Gene Expression
ENSDARG00000074892	pde6d	Gene Expression
ENSDARG00000059902	vps16	Gene Expression
ENSDARG00000068397	tns2b	Gene Expression
ENSDARG00000096825	CU914157.1	Gene Expression
ENSDARG00000041359	zgc:161969	Gene Expression
ENSDARG00000060153	h6pd	Gene Expression
ENSDARG00000004753	mylkb	Gene Expression
ENSDARG00000012039	ttc26	Gene Expression
ENSDARG00000075648	sema5bb	Gene Expression
ENSDARG00000098603	BX914220.1	Gene Expression
ENSDARG00000070486	rbp7b	Gene Expression
ENSDARG00000019181	rpsa	Gene Expression
ENSDARG00000017728	phb2b	Gene Expression
ENSDARG00000058165	htr2ab	Gene Expression
ENSDARG00000096397	BX511272.1	Gene Expression
ENSDARG00000098645	rgn	Gene Expression
ENSDARG00000070485	cenps	Gene Expression
ENSDARG00000044191	gxylt2	Gene Expression
ENSDARG00000097845	si:ch211-105j21.9	Gene Expression
ENSDARG00000003904	sycp1	Gene Expression
ENSDARG00000053447	ppp4r2b	Gene Expression
ENSDARG00000044332	zranb2	Gene Expression
ENSDARG00000061923	amotl2a	Gene Expression
ENSDARG00000058145	atp7b	Gene Expression
ENSDARG00000099546	kynu	Gene Expression
ENSDARG00000013938	psmb3	Gene Expression
ENSDARG00000076865	si:ch73-193c12.2	Gene Expression
ENSDARG00000057782	baz2ba	Gene Expression
ENSDARG00000040031	tardbp	Gene Expression
ENSDARG00000079700	b3galt1a	Gene Expression
ENSDARG00000071113	xirp2a	Gene Expression
ENSDARG00000103851	tnrc6c2	Gene Expression
ENSDARG00000023498	gmppab	Gene Expression
ENSDARG00000096290	AL929243.1	Gene Expression
ENSDARG00000099547	nbeal1	Gene Expression
ENSDARG00000054239	ghrl	Gene Expression
ENSDARG00000071139	zgc:64065	Gene Expression
ENSDARG00000010194	eif4bb	Gene Expression
ENSDARG00000021032	foxd3	Gene Expression
ENSDARG00000060123	ca16b	Gene Expression
ENSDARG00000056924	sap130a	Gene Expression
ENSDARG00000070617	vhl	Gene Expression
ENSDARG00000070618	tatdn2	Gene Expression
ENSDARG00000098407	BX936393.2	Gene Expression
ENSDARG00000098099	zgc:64065	Gene Expression
ENSDARG00000098290	unc80	Gene Expression
ENSDARG00000004243	asic4b	Gene Expression
ENSDARG00000062744	scn1lab	Gene Expression
ENSDARG00000078037	chpfb	Gene Expression
ENSDARG00000038283	wnt6a	Gene Expression
ENSDARG00000071011	cdk5r2a	Gene Expression
ENSDARG00000021113	ptmaa	Gene Expression
ENSDARG00000097422	CU929360.2	Gene Expression
ENSDARG00000054250	crbn	Gene Expression
ENSDARG00000104130	rbm26	Gene Expression
ENSDARG00000070713	prss60.1	Gene Expression
ENSDARG00000003697	slc5a8l	Gene Expression
ENSDARG00000089858	cobll1a	Gene Expression
ENSDARG00000055644	prss60.2	Gene Expression
ENSDARG00000103253	zgc:112023	Gene Expression
ENSDARG00000102496	CR847898.4	Gene Expression
ENSDARG00000096822	CR847898.1	Gene Expression
ENSDARG00000070611	zgc:152986	Gene Expression
ENSDARG00000098376	si:ch211-207l14.1	Gene Expression
ENSDARG00000097574	CR847898.3	Gene Expression
ENSDARG00000033726	tshba	Gene Expression
ENSDARG00000097944	BX664614.1	Gene Expression
ENSDARG00000103077	si:rp71-81e14.2	Gene Expression
ENSDARG00000096954	si:dkeyp-67f1.1	Gene Expression
ENSDARG00000103900	sept9b	Gene Expression
ENSDARG00000070710	prss60.3	Gene Expression
ENSDARG00000096309	AL627258.1	Gene Expression
ENSDARG00000026086	ENSDARG00000026086	Gene Expression
ENSDARG00000071159	sft2d2b	Gene Expression
ENSDARG00000097265	CR847898.2	Gene Expression
ENSDARG00000030349	cryba2a	Gene Expression
ENSDARG00000097861	CU041346.1	Gene Expression
ENSDARG00000034685	tmem198b	Gene Expression
ENSDARG00000062687	kcnh7	Gene Expression
ENSDARG00000020893	slc25a55a	Gene Expression
ENSDARG00000077308	gpr84	Gene Expression
ENSDARG00000091625	ENSDARG00000091625	Gene Expression
ENSDARG00000060116	camk1a	Gene Expression
ENSDARG00000031647	stat2	Gene Expression
ENSDARG00000104833	CU693471.1	Gene Expression
ENSDARG00000044373	atg4c	Gene Expression
ENSDARG00000063264	pcdh9	Gene Expression
ENSDARG00000090980	apof	Gene Expression
ENSDARG00000009677	dlg1	Gene Expression
ENSDARG00000044441	ENSDARG00000044441	Gene Expression
ENSDARG00000097596	tac3b	Gene Expression
ENSDARG00000096414	CU074421.1	Gene Expression
ENSDARG00000097859	BX324134.1	Gene Expression
ENSDARG00000103487	BX936431.1	Gene Expression
ENSDARG00000077038	pbrm1l	Gene Expression
ENSDARG00000003754	tspan2a	Gene Expression
ENSDARG00000045331	pkp4	Gene Expression
ENSDARG00000014050	ngfb	Gene Expression
ENSDARG00000055561	c1galt1b	Gene Expression
ENSDARG00000044601	rtn4a	Gene Expression
ENSDARG00000089026	si:dkey-183k8.2	Gene Expression
ENSDARG00000096832	BX569793.1	Gene Expression
ENSDARG00000099379	ppp4r1l	Gene Expression
ENSDARG00000062630	dnah9l	Gene Expression
ENSDARG00000015807	rab22a	Gene Expression
ENSDARG00000020301	os9	Gene Expression
ENSDARG00000096235	BX936397.1	Gene Expression
ENSDARG00000090872	si:dkey-276j7.1	Gene Expression
ENSDARG00000044182	stau1	Gene Expression
ENSDARG00000075557	apcdd1l	Gene Expression
ENSDARG00000070435	vapb	Gene Expression
ENSDARG00000077352	b4galnt1b	Gene Expression
ENSDARG00000097743	si:dkey-276j7.2	Gene Expression
ENSDARG00000014465	arhgef25b	Gene Expression
ENSDARG00000003307	stx16	Gene Expression
ENSDARG00000094521	si:ch73-194h10.3	Gene Expression
ENSDARG00000059473	kank4	Gene Expression
ENSDARG00000062030	gpr17	Gene Expression
ENSDARG00000078675	dock7	Gene Expression
ENSDARG00000012871	npepl1	Gene Expression
ENSDARG00000075159	meltf	Gene Expression
ENSDARG00000028862	rdh20	Gene Expression
ENSDARG00000044365	angptl3	Gene Expression
ENSDARG00000056414	usp1	Gene Expression
ENSDARG00000095783	si:dkey-249d8.1	Gene Expression
ENSDARG00000097183	CU570976.1	Gene Expression
ENSDARG00000043081	ctsz	Gene Expression
ENSDARG00000079897	si:dkey-7k24.5	Gene Expression
ENSDARG00000097317	si:dkey-276j7.3	Gene Expression
ENSDARG00000060095	kcnb1	Gene Expression
ENSDARG00000074283	inpp5d	Gene Expression
ENSDARG00000060094	ptgis	Gene Expression
ENSDARG00000017708	lrrc40	Gene Expression
ENSDARG00000044175	oxtrl	Gene Expression
ENSDARG00000021097	nelfcd	Gene Expression
ENSDARG00000053311	tespa1	Gene Expression
ENSDARG00000062430	gpd2	Gene Expression
ENSDARG00000070471	tarbp2	Gene Expression
ENSDARG00000095955	BX927257.1	Gene Expression
ENSDARG00000043094	gnas	Gene Expression
ENSDARG00000008732	zgc:66479	Gene Expression
ENSDARG00000075926	igfn1.2	Gene Expression
ENSDARG00000079670	lrrc7	Gene Expression
ENSDARG00000053066	tubb1	Gene Expression
ENSDARG00000097047	BX629346.1	Gene Expression
ENSDARG00000095897	atp5f1e	Gene Expression
ENSDARG00000097690	BX629346.2	Gene Expression
ENSDARG00000005191	ahcy	Gene Expression
ENSDARG00000016255	chmp4ba	Gene Expression
ENSDARG00000086028	igfn1.4	Gene Expression
ENSDARG00000097613	igfn1.3	Gene Expression
ENSDARG00000077858	asip1	Gene Expression
ENSDARG00000053047	eif2s2	Gene Expression
ENSDARG00000059972	raly	Gene Expression
ENSDARG00000100446	si:ch211-286o17.1	Gene Expression
ENSDARG00000038075	cyc1	Gene Expression
ENSDARG00000025974	magi3b	Gene Expression
ENSDARG00000038076	romo1	Gene Expression
ENSDARG00000038074	ergic3	Gene Expression
ENSDARG00000078561	lrig2	Gene Expression
ENSDARG00000077473	mych	Gene Expression
ENSDARG00000032725	rps27a	Gene Expression
ENSDARG00000059604	mtss1	Gene Expression
ENSDARG00000052279	osgn1	Gene Expression
ENSDARG00000075530	pigu	Gene Expression
ENSDARG00000044167	padi2	Gene Expression
ENSDARG00000053272	ENSDARG00000053272	Gene Expression
ENSDARG00000074781	ptprt	Gene Expression
ENSDARG00000097572	ptprt	Gene Expression
ENSDARG00000094064	CR788236.1	Gene Expression
ENSDARG00000086490	si:dkey-92f12.2	Gene Expression
ENSDARG00000007412	slc2a1b	Gene Expression
ENSDARG00000097496	si:dkey-6e2.2	Gene Expression
ENSDARG00000013224	phc2b	Gene Expression
ENSDARG00000005050	wnt2ba	Gene Expression
ENSDARG00000032603	st7l	Gene Expression
ENSDARG00000008141	rbl1	Gene Expression
ENSDARG00000017244	chd6	Gene Expression
ENSDARG00000034240	capza1a	Gene Expression
ENSDARG00000015829	mov10a	Gene Expression
ENSDARG00000020979	ripor3	Gene Expression
ENSDARG00000052073	blcap	Gene Expression
ENSDARG00000078868	tmem74b	Gene Expression
ENSDARG00000022652	psmf1	Gene Expression
ENSDARG00000038593	rspo4	Gene Expression
ENSDARG00000076787	angpt4	Gene Expression
ENSDARG00000038583	abraa	Gene Expression
ENSDARG00000059523	rims4	Gene Expression
ENSDARG00000013078	ywhaba	Gene Expression
ENSDARG00000001557	tomm34	Gene Expression
ENSDARG00000038577	cox6c	Gene Expression
ENSDARG00000095896	pou3f3b	Gene Expression
ENSDARG00000038537	gga1	Gene Expression
ENSDARG00000017211	plxnb1b	Gene Expression
ENSDARG00000008772	cacng1a	Gene Expression
ENSDARG00000101618	ube2c	Gene Expression
ENSDARG00000079972	nfatc2b	Gene Expression
ENSDARG00000110178	CABZ01066694.1	Gene Expression
ENSDARG00000061303	oca2	Gene Expression
ENSDARG00000077004	aldh1l1	Gene Expression
ENSDARG00000104974	slain1b	Gene Expression
ENSDARG00000114670	ube2c	Gene Expression
ENSDARG00000034207	cx44.2	Gene Expression
ENSDARG00000098824	cdh22	Gene Expression
ENSDARG00000004898	zp2l2	Gene Expression
ENSDARG00000111939	atf4a	Gene Expression
ENSDARG00000022512	zgc:109913	Gene Expression
ENSDARG00000006757	klhl41b	Gene Expression
ENSDARG00000070122	stk11ip	Gene Expression
ENSDARG00000029252	ssb	Gene Expression
ENSDARG00000002241	kcna2a	Gene Expression
ENSDARG00000109360	FO704848.1	Gene Expression
ENSDARG00000078576	setd5	Gene Expression
ENSDARG00000026084	si:dkey-43k4.5	Gene Expression
ENSDARG00000059651	cidec	Gene Expression
ENSDARG00000052288	zmp:0000000634	Gene Expression
ENSDARG00000115435	pimr198	Gene Expression
ENSDARG00000052423	ppp1r12c	Gene Expression
ENSDARG00000030980	csrp1b	Gene Expression
ENSDARG00000103277	cyp24a1	Gene Expression
ENSDARG00000039162	rhebl1	Gene Expression
ENSDARG00000101671	zgc:158417	Gene Expression
ENSDARG00000052470	igfbp2a	Gene Expression
ENSDARG00000094990	si:dkey-91f15.1	Gene Expression
ENSDARG00000029930	ENSDARG00000029930	Gene Expression
ENSDARG00000033993	slc19a1	Gene Expression
ENSDARG00000101406	rplp2	Gene Expression
ENSDARG00000114184	si:busm1-105l16.2	Gene Expression
ENSDARG00000040156	grm4	Gene Expression
ENSDARG00000078842	tns1a	Gene Expression
ENSDARG00000003326	cacng5a	Gene Expression
ENSDARG00000033579	mtrf1	Gene Expression
ENSDARG00000024006	rprmb	Gene Expression
ENSDARG00000112811	CZQB01141835.1	Gene Expression
ENSDARG00000010873	ENSDARG00000010873	Gene Expression
ENSDARG00000068082	wbp4	Gene Expression
ENSDARG00000052428	si:dkey-43k4.3	Gene Expression
ENSDARG00000067669	zglp1	Gene Expression
ENSDARG00000104700	acvr2ab	Gene Expression
ENSDARG00000014727	acox1	Gene Expression
ENSDARG00000111107	CT009620.1	Gene Expression
ENSDARG00000039512	ap1m3	Gene Expression
ENSDARG00000075540	ENSDARG00000075540	Gene Expression
ENSDARG00000102202	phospho2	Gene Expression
ENSDARG00000030408	rps26l	Gene Expression
ENSDARG00000105300	BX927081.1	Gene Expression
ENSDARG00000045978	chchd6b	Gene Expression
ENSDARG00000089886	si:dkey-19e4.5	Gene Expression
ENSDARG00000112895	FO834857.1	Gene Expression
ENSDARG00000061505	mrps9	Gene Expression
ENSDARG00000059899	CR847944.2	Gene Expression
ENSDARG00000114823	ENSDARG00000114823	Gene Expression
ENSDARG00000036567	aanat1	Gene Expression
ENSDARG00000104367	casp20	Gene Expression
ENSDARG00000112756	CU468896.1	Gene Expression
ENSDARG00000059581	mbd5	Gene Expression
ENSDARG00000044600	plppr2b	Gene Expression
ENSDARG00000111810	lhfpl4a	Gene Expression
ENSDARG00000095901	col18a1b	Gene Expression
ENSDARG00000044431	ppig	Gene Expression
ENSDARG00000008030	myl9b	Gene Expression
ENSDARG00000059853	manbal	Gene Expression
ENSDARG00000059634	thumpd3	Gene Expression
ENSDARG00000008219	crygm4	Gene Expression
ENSDARG00000110019	CABZ01079267.1	Gene Expression
ENSDARG00000039256	spega	Gene Expression
ENSDARG00000100374	txnrd3	Gene Expression
ENSDARG00000101293	ENSDARG00000101293	Gene Expression
ENSDARG00000090418	wdsub1	Gene Expression
ENSDARG00000036613	tab1	Gene Expression
ENSDARG00000115741	LO017974.1	Gene Expression
ENSDARG00000005526	igfn1.1	Gene Expression
ENSDARG00000074933	polg2	Gene Expression
ENSDARG00000115555	BX323459.2	Gene Expression
ENSDARG00000112767	LO017951.1	Gene Expression
ENSDARG00000116807	AL935299.1	Gene Expression
ENSDARG00000059582	sowahcb	Gene Expression
ENSDARG00000052304	uqcrc1	Gene Expression
ENSDARG00000103390	cacna2d2a	Gene Expression
ENSDARG00000101244	gli1	Gene Expression
ENSDARG00000113961	nudt15	Gene Expression
ENSDARG00000102558	pde6ha	Gene Expression
ENSDARG00000098289	vstm2l	Gene Expression
ENSDARG00000052377	psmd12	Gene Expression
ENSDARG00000114425	med8	Gene Expression
ENSDARG00000053454	cntn3b	Gene Expression
ENSDARG00000101131	pbx1b	Gene Expression
ENSDARG00000102243	si:ch211-180m24.3	Gene Expression
ENSDARG00000116943	BX324134.4	Gene Expression
ENSDARG00000052190	fdx2	Gene Expression
ENSDARG00000101906	zgc:113442	Gene Expression
ENSDARG00000052351	si:dkey-156n14.3	Gene Expression
ENSDARG00000105182	ntan1	Gene Expression
ENSDARG00000102610	r3hdm2	Gene Expression
ENSDARG00000114880	CU467856.3	Gene Expression
ENSDARG00000100781	col28a2b	Gene Expression
ENSDARG00000103763	l3hypdh	Gene Expression
ENSDARG00000100986	CABZ01117503.1	Gene Expression
ENSDARG00000005846	ENSDARG00000005846	Gene Expression
ENSDARG00000052708	tnni1b	Gene Expression
ENSDARG00000104414	shmt2	Gene Expression
ENSDARG00000006544	c1qtnf6b	Gene Expression
ENSDARG00000099851	ENSDARG00000099851	Gene Expression
ENSDARG00000019808	evpla	Gene Expression
ENSDARG00000076416	shroom2a	Gene Expression
ENSDARG00000087144	fam183a	Gene Expression
ENSDARG00000059854	CABZ01041604.1	Gene Expression
ENSDARG00000115540	cacng4a	Gene Expression
ENSDARG00000053179	cttnbp2nla	Gene Expression
ENSDARG00000068176	uqcc1	Gene Expression
ENSDARG00000052182	rbfox2	Gene Expression
ENSDARG00000099370	AL954861.2	Gene Expression
ENSDARG00000059775	slc32a1	Gene Expression
ENSDARG00000107534	erich2	Gene Expression
ENSDARG00000052433	inha	Gene Expression
ENSDARG00000026246	CR847944.1	Gene Expression
ENSDARG00000034086	zgc:65895	Gene Expression
ENSDARG00000007196	rae1	Gene Expression
ENSDARG00000113706	CR925723.4	Gene Expression
ENSDARG00000020820	srp68	Gene Expression
ENSDARG00000086724	im:7151449	Gene Expression
ENSDARG00000098420	ENSDARG00000098420	Gene Expression
ENSDARG00000021882	fbxl3b	Gene Expression
ENSDARG00000036619	mgat3b	Gene Expression
ENSDARG00000114314	CR376861.1	Gene Expression
ENSDARG00000103195	dync1i2b	Gene Expression
ENSDARG00000101161	orc4	Gene Expression
ENSDARG00000088225	ENSDARG00000088225	Gene Expression
ENSDARG00000090904	CABZ01046895.1	Gene Expression
ENSDARG00000116941	nfil3-3	Gene Expression
ENSDARG00000114885	pxmp4	Gene Expression
ENSDARG00000115222	ENSDARG00000115222	Gene Expression
ENSDARG00000077073	tanc1a	Gene Expression
ENSDARG00000079811	micall1a	Gene Expression
ENSDARG00000091124	rps19bp1	Gene Expression
ENSDARG00000114386	CABZ01063034.1	Gene Expression
ENSDARG00000014169	ENSDARG00000014169	Gene Expression
ENSDARG00000015964	zgc:153311	Gene Expression
ENSDARG00000100203	CABZ01056637.1	Gene Expression
ENSDARG00000102471	trak2	Gene Expression
ENSDARG00000086706	ENSDARG00000086706	Gene Expression
ENSDARG00000020863	trim25l	Gene Expression
ENSDARG00000070148	cygb2	Gene Expression
ENSDARG00000026767	nol11	Gene Expression
ENSDARG00000059642	mtmr14	Gene Expression
ENSDARG00000039264	igfbp5a	Gene Expression
ENSDARG00000087907	ndufa4l2b	Gene Expression
ENSDARG00000054930	tpra1	Gene Expression
ENSDARG00000112918	BX927362.2	Gene Expression
ENSDARG00000005559	pou4f1	Gene Expression
ENSDARG00000002510	dmbx1b	Gene Expression
ENSDARG00000003684	obsl1a	Gene Expression
ENSDARG00000097346	ten1	Gene Expression
ENSDARG00000111474	cfap100	Gene Expression
